"hgnc" "EntrezGene"
"833" "VRK1" 7443
"834" "HDAC2" 3066
"835" "ARHGAP29" 9411
"836" "SNX29" 92017
"837" "ACN9" NA
"838" "PPIC" 5480
"839" "LINC00319" 284836
"840" "OR1H1P" 26742
"841" "CDCA2" 157313
"842" "PPARGC1A" 10891
"843" "DENND2A" 27147
"844" "FBL" 2091
"845" "MBOAT4" 619373
"846" "GNAZ" 2781
"847" "POLE3" 54107
"848" "HSBP1" 3281
"849" "RP11-460N16.1" NA
"850" "MINOS1" 440574
"851" "RP11-434D12.1" NA
"852" "ZNF615" 284370
"853" "MEF2A" 4205
"854" "E2F8" 79733
"855" "PSRC1" 84722
"856" "PRUNE2" 158471
"857" "KIF15" 56992
"858" "MGEA5" NA
"859" "SGOL2" NA
"860" "APOBEC3B" 9582
"861" "WNK1" 65125
"862" "RP11-517C16.2" NA
"863" "PHF8" 23133
"864" "PHGDH" 26227
"865" "HEXB" 3074
"866" "CTD-2331H12.5" NA
"867" "CTC-550B14.7" NA
"868" "CASC7" NA
"869" "KRIT1" 889
"870" "HEY2" 23493
"871" "NCAPH" 23397
"872" "ISLR" 3671
"873" "GINS4" 84296
"874" "CTNND2" 1501
"875" "SBK1" 388228
"876" "ETV4" 2118
"877" "GPR143" 4935
"878" "NAV2" 89797
"879" "AP2S1" 1175
"880" "TRIB2" 28951
"881" "TRPV6" 55503
"882" "ZNF490" 57474
"883" "IL23A" 51561
"884" "RARRES2" 5919
"885" "DDX52" 11056
"886" "HEATR5A" 25938
"887" "RPLP0P2" 113157
"888" "TSC1" 7248
"889" "DUSP15" 128853
"890" "ZNF41" 7592
"891" "GPATCH8" 23131
"892" "BCL7C" 9274
"893" "RP1-232P20.1" NA
"894" "ADCY10P1" 221442
"895" "CEPT1" 10390
"896" "STX6" 10228
"897" "TMEM26" 219623
"898" "CLEC11A" 6320
"899" "B3GALT1" 8708
"900" "CENPK" 64105
"901" "KIAA0226" NA
"902" "ABRACL" 58527
"903" "FANCB" 2187
"904" "FHOD3" 80206
"905" "KLF2" 10365
"906" "ZNF628" 89887
"907" "RP11-231E6.1" NA
"908" "IL17D" 53342
"909" "CUEDC1" 404093
"910" "RAD51C" 5889
"911" "TCTN3" 26123
"912" "RP11-474B16.1" NA
"913" "SGK1" 6446
"914" "ACTR3B" 57180
"915" "RP11-44N12.5" NA
"916" "AEN" 64782
"917" "NME1" 4830
"918" "PRG4" 10216
"919" "MCM6" 4175
"920" "N6AMT2" NA
"921" "THEM5" 284486
"922" "TNFSF9" 8744
"923" "RP3-368A4.6" NA
"924" "RBM38" 55544
"925" "CENPA" 1058
"926" "C8orf33" 65265
"927" "RPL26L1" 51121
"928" "CCDC64" NA
"929" "SLC25A11" 8402
"930" "MTR" 4548
"931" "RP11-632K20.7" NA
"932" "SLC14A1" 6563
"933" "HAPLN3" 145864
"934" "CDHR1" 92211
"935" "RP11-324O2.3" NA
"936" "EBNA1BP2" 10969
"937" "ERGIC3" 51614
"938" "TCOF1" 6949
"939" "FAM101A" NA
"940" "SLC38A1" 81539
"941" "STAG3" 10734
"942" "ELP6" 54859
"943" "RP11-529F4.1" NA
"944" "LSM4" 25804
"945" "AL353898.2" NA
"946" "RTN2" 6253
"947" "SRRM2" 23524
"948" "SOCS1" 8651
"949" "TAOK3" 51347
"950" "DNAAF2" 55172
"951" "SWI5" 375757
"952" "SYT14" 255928
"953" "ARHGEF39" 84904
"954" "SLC2A6" 11182
"955" "ACVR1B" 91
"956" "CIB2" 10518
"957" "AC006042.6" NA
"958" "VBP1" 7411
"959" "HNRNPA1P4" 389674
"960" "ALPL" 249
"961" "UBR5" 51366
"962" "GAB1" 2549
"963" "C16orf70" 80262
"964" "ABCD2" 225
"965" "Z83851.1" NA
"966" "RP11-61J19.4" NA
"967" "LINC01160" 100129269
"968" "STYK1" 55359
"969" "AKR1A1" 10327
"970" "ETNK1" 55500
"971" "BLZF1" 8548
"972" "ARHGAP27" 201176
"973" "FXN" 2395
"974" "NUSAP1" 51203
"975" "BOD1" 91272
"976" "WDR77" 79084
"977" "ZDHHC7" 55625
"978" "CLUAP1" 23059
"979" "SCD5" 79966
"980" "LINC00639" 283547
"981" "SFRP1" 6422
"982" "SELE" 6401
"983" "C19orf57" 79173
"984" "RNF157" 114804
"985" "C11orf74" 119710
"986" "DCBLD2" 131566
"987" "NUF2" 83540
"988" "HERC2P9" 440248
"989" "TAX1BP3" 30851
